id,name,review,created_at,updated_at,images
491,Elena Maroto,"Hola Oskar,

ya lo he terminado como te había dicho, así que ahí va mi ""reseña"" que se que te hace mucha ilusión. :-)

Pero antes de decirte lo que me ha parecido tu libro (al que llegué por casualidad), déjame decirte que soy de esas que lee y no comenta y de las que hasta hacer poco no entendían muy bien el porqué de un blog. Pero mira por donde, entre el tuyo y algún otro me han dado ganas de lanzarme y contar una experiencia particular, finita en el tiempo que viví hace unos años y que muy muy poca gente conoce en detalle. Así que ya solo por eso GRACIAS!!

Ya te dije que soy de carcajada y lagrima fáciles casi a partes iguales, aunque quiero pensar que me rió mas de lo que lloro. Empecé el libro entre carcajadas, de pie, mientras recordaba la tele a la que le sobraban la mitad de los botones y me reía con otras alusiones a aquellos maravillosos años. Y después llegaron los ojos llorosos. Es muy complicado leer con los ojos embotados, sabes?

En el libro he encontrado de todo. Mucho flaco, con su calle melancolía y su mes de abril robado. Poesía. Pero no de la cursi, poesía de la que dice verdades que es la que a mi mas me gusta.

Mi libro, tu libro, ahora tiene esquinitas dobladas y marcas de lápiz que señalan frases y párrafos. Hasta algún comentario que marca algún capitulo entero.

En tu libro he encontrado con qué sentirme identificada. La soledad del que se va de su casa, de su país, del que deja a los suyos lejos, del que intenta integrarse y llenar los huecos que son, a veces, tan difíciles de llenar. He encontrado familia, la propia y la adoptiva, esa que encontramos, si tenemos suerte, allá donde la vida nos ha llevado. He encontrado un corazón dividido que no, ya nunca volverá a pegarse. He encontrado respeto por otras vidas, otras tradiciones, otros sufrimientos. Y he encontrado Japón, con sus onigiris y sus templos. He encontrado frases preciosas: ""Y juro que su risa olía dulce, lo juro"". Moriría porque alguien me dijera que mi risa huele dulce, pero eso que quede entre nosotros, que hasta hoy yo soy una romántica no declarada :-)

Si tuviera que elegir partes de tu libro me quedaría con ""Javi"". Hasta entonces los ojos se me habían empañado y en ese capitulo sin darme cuenta estaba llorando a borbotones. Cuanto amor en tan pocas letras!
Añadiría, por supuesto ""La chica que siempre sonríe"". Ya te dije que me encanto y que me moría de ganas de saber como conociste a la que hoy hace que rime tu vida. Genial el ordago de Michiko, por cierto! Si es que a veces nos hace falta un empujoncito...
Enorme también ""Fujisan"": ""Y nosotros eramos tan pequeños... pero tan pequeños..."".  Y por ultimo me quedo con todos los relacionados con el terremoto: ""Me siento orgulloso de estar aquí"".

Podría seguir contándote las mil y una cosas mas que me han gustado, pero al paso que va esto, iba a ser mas largo que el mismo libro... así que yo creo que lo mejor sera que la próxima vez que vaya a Japón (que sera pronto, espero) nos tomemos una cerve y te las cuente en persona.

Por cierto, no se te olvide incluirme en la lista para el próximo, que allí estaré la primera!

Un gran placer leerte, Oskar-san!

Con cariño,
Elena. ",2016-05-17 03:08:00,2016-05-17 03:08:00,""
481,Fran M.Carmona,"Hola Oskar!!

Quizá no te acuerdes de mí, soy Fran, el chico de Antequera que te compró hace unos meses el ikulibro.

Te prometí una respuesta y justamente acabo de terminar de leerlo en el shinkansen de camino a Kyoto mientras un señor trajeado como el 90% del vagón ronca escandalosamente con mascarilla a mi lado.

Lo he saboreado bastante, y he querido leerlo despacio mientras viajaba con mi novia por todo el país, me han conmovido muchos capítulos innumerables veces, aunque quizá he de hacer hincapié en el que conociste a Chiaki, y en el del terremoto, que curiosamente lo leí unos días antes del 11 de marzo y se lo contaba a Tsumugi (mi novia) que con escuchar mi truño de traducción ya quería saber mas sobre tu historia, otra señal mas de que encandilas a cualquiera!

Creo que mi opinión sobre tu libro coincide bastante con las cartas del final, con lo cual, solo decirte que si algún día hay una segunda parte ve haciendo un grupo de correos de gente interesada y méteme dentro.

Muchas gracias, creo que algún día nos conoceremos en persona no sé por qué.

Cuidaos mucho los tres!!

Fran.",2015-03-24 05:15:03,2015-03-24 05:15:03,""
471,Sonia Benito,"Hola!
    Simplemente me apetecía escribirte porque hoy he terminado de leer tu libro y ya que tengo la oportunidad de mandarte un correito,..cuesta aguantarse las ganas!
    En alguna ocasión, estando por Balma con los amigos de Edu (Balmasedo en tu libro), había oído hablar de ti: ""Koki? Ahora vive en Japón"", también coincidimos en la boda de Pirri, pero si te tengo que ser sincera apenas sabía nada de ti (me perdí las noches de fiesta por Zalla de pub en pub, ir al aparcamiento a hacer botellón con la música en los coches, las fiestas de Sollano, las de Aranguren,...por esa época mi cuadrilla andaba más por Bilbao y cuando tocaba íbamos a fiestas de Deusto, de Basauri, de Santurce, de Mungia,...
    El caso es que leer tu libro ha sido todo un descubrimiento. Al principio pensaba que era un libro sobre Japón pero ver que no era eso si no una historia de superación personal, contada con sensibilidad y mucho tacto, ha resultado ser mucho más grato. 
    Solo decirte que me alegra saber que has encontrado tu sitio que, por supuesto, no es otro sino aquel que te hace feliz. Me legro mucho por ti y os deseo lo mejor.

Un saludin,
Sonia",2015-03-24 05:14:24,2015-03-24 05:14:24,""
461,Kalruth Toxo,"Afinando un sueño
Autor: Oskar Díaz Toscano

Primera frase: “Es de caballeros presentarse antes de nada y como, de momento, esto de leer un libro es solo de ida, me vais a permitir que lo haga yo primero:”

Última frase: “Lo que no se es qué vendrá después porque todavía lo tengo por vivir, pero podéis estar seguros que de una u otra manera acabaré aquí, en una vieja cafetería de Tokyo, con lágrimas prestas, una café en la mano y una hoja en blanco por empezar. ”

Llevo mucho tiempo con una vagancia extrema y con una deuda ENORME al haber prometido al autor del libro una reseña.

Este libro recoge las historias de un blog que descubría al poco de empezar a estudiar japones, dando vueltas por eso del internet.  Poco a poco me fue atrapando y cada poco miraba a ver si había escrito una historia nueva y me desvelaba un poco más de ese Japón que no nos cuentan las guías. Y un día salió la historia del crowfunding y que se decidía a poner todas esas historias en papel, y alguna que otra más que no había posteado en su momento.
La cuestión es que el objetivo marcado se consiguió en apenas dos días (si no recuerdo mal) y el proyecto del libro se llevó a cabo.
No me duró ni una semana desde que empecé a leérmelo.
He reído, me he emocionado y he llorado releyendo historias de su blog ahora en papel, me he sorprendido con detalles que no recordaba o con las nuevas historias que no conocía, leer la historia completa de la chica de Enoshima de un tirón mientras soltaba lagrimones y sonrisas por igual o la historia del hombre de la  tienda de zapatos y la ternura que destila.
- “KOKORO” -",2014-09-22 00:30:27,2014-09-22 00:30:27,""
451,Eduardo Moreno,"Hola Oskar, aunque tras leer el libro casi me sale ""hola amigo"". Soy consciente de que es un sentimiento asimétrico.

Pues me ha gustado mucho el libro; ¿cómo no me va a gustar? Eso sí, ha sido una sorpresa. No esperaba un libro tan... poético. Y es que también soy un ""rascateclas"" y ya sabes cómo es el estereotipo. Ese estereotipo que tú pareces romper.

Últimamente estoy leyendo mucho, pero son libros densos y por conveniencia. Para respirar un poco, los combino con lecturas que sí me apetece leer. Reservé tu libro para el último momento antes de dormir para hacerlo con una sonrisa, 2 ó 3 relatos por noche. Y lo dicho, me sorprendió el estilo y la profundidad emocional de las historias. Sin duda me has dado que pensar y enseñado algunas lecciones, de esas que seguramente todos llevamos dentro pero que pocos nos detenemos para hacer el esfuerzo de darles forma y ponerlas a disposición de los demás. Con humildad y elegancia como has hecho tú.

Precisamente esos dos principios son los que automáticamente me vienen a la mente cuando pienso en Japón: humildad y elegancia. Tal vez por esa sintonía has terminado encaminándote hacia allí.

Un beso respetuoso a Chiaki y a Michiko por ser dos soles. Y un abrazo para ti.

Gracias...
",2014-07-29 00:27:37,2014-07-29 00:27:37,""
441,Ana María,"Hola Oskar. Gracias por enviarme tu libro tan pronto.
Te diré que desde que me llegó no he podido dejar de leerlo y es uno de los más bonitos que he leido nunca.
Yo soy una enamorada de Japón desde que era pequeña y, al final, hace unos años conseguí cumplir mi sueño y marcharme alli en un circuito en el que me enseñaron muchas cosas. Hubo otras muchas que me perdí según he podido ver en tu libro pero es como si las hubiera visto porque se vive lo que escribes y te metes de lleno en la vida japonesa.
Seguiré tu blog.
Un abrazo.
Ana María ",2014-07-24 00:58:05,2014-07-24 00:58:05,""
421,Abel M.,"He tardado en leerlo desde mediados de Abril que lo compré. Lo he hecho a ratos antes de ir a dormir y escogiendo historias al azar. Allí donde paraba de pasar páginas ésa serían la experiencia a leer. Un libro muy crudo, muy real, intenso, humano. Como viajero con parte de la mente y el corazón en Japón por supuesto que hay retazos con los que he sentido complicidad. Y como miembro de una família repartida por una parte del mundo, inmigrantes, me ha permitido entender, con esta facilidad de transcribir la punzada en el estómago o en el corazón, lo que otros familiares míos sintieron lejos de casa. Por que, al fin y al cabo, por mucho que nos guste un país, sus formas, sus maneras, su actitud… nunca será 100% recíproca. Pero bueno, ese es otro tema, la convivencia como asignatura pendiente de la sociedad actual. Y sí, este libro ya está en la estantería pero a la alcance de la mano para endulzar un café , o mejor aún, un matcha.",2014-07-16 00:43:58,2014-07-16 00:43:58,""
411,José Javier Casado,"Hola, Oskar.
Tú a mí no me conoces, y es muy probable que nunca llegues a hacerlo, pero sin embargo yo puedo decir que me siento como si yo a ti te conociera de hace mucho tiempo.
Bien, creo que va siendo hora de presentarme. Me llamo Jose, tengo 19 años, y te escribo estas líneas desde un punto perdido de la sierra norte de Madrid llamado Lozoyuela.
Hace unos pocos meses (diría que 6, pero si mi memoria no me falla ya había reparado en el ikublog antes, aunque sin prestarle toda la atención que merece) fui a parar a tu blog, motivado ante el deseo de conocer cómo es la vida de alguien que vive en Japón. Y sí, esperaba encontrarme cientos de miles de aparatitos electrónicos a buen precio y otros tantos reviews de anime, y sin embargo, lo que me encontré, a pesar de ser muy distinto, me dejó muchísimo más impresionado de lo que lo harían cualquiera de esas cosas.
En este periodo me he leído prácticamente entero el blog, sí, como suena. No puedo dejar de sentir que, aunque estés a cientos de miles de kilómetros de aquí, tienes una sensibilidad que me toca el corazón como si estuvieras a 20 centímetros. Y, aunque puede sonar pretencioso puesto que por motivos del azar y de la edad tú has vivido el triple o el cuádruple que yo, me siento identificado con muchísimas de las cosas que escribes. Tendrá que ver con el hecho de que acabo de terminar el ikulibro, que por desgracia aún no puedo tener en papel (aunque si aún quedan para mediados del mes que entra seré el orgulloso poseedor de uno), pero, después de la noche de ayer, que fue una de esas en que uno se siente más solo mirando la luna solo, siento que debía darte las gracias. Por haberme ayudado a entenderme mejor a mí mismo, y por haberme hecho perseverar en el camino que he elegido, porque sé que me llevará a donde quiero llegar. Me he dado cuenta de todo ello leyendo hoy el ikulibro (que es un regalazo, muchas gracias por dejarme leer un pedacito más de lo que veía ya en el blog). Es realmente lo que más me ha llegado dentro en mucho tiempo.
Muchas, muchísimas gracias, y ojalá que durante mucho tiempo pueda seguir leyéndote y aprendiendo de lo que has escrito y has vivido.
P.D.: Tu libro está hecho para ser leído mientras escuchas en bucle La Ley Innata, qué quieres que te diga...
Saludos y un abrazo muy fuerte desde España. Jose.
",2014-06-30 05:12:44,2014-06-30 05:12:44,""
401,Josué Yuste,"Pues oye…

tu libro, o la parte de tu vida que quisiste que se plasmara en un libro.

Escribo así de corrido para seguir con mi tradición de años y años que dice que si escribo, no borro, y que si pienso, no queda tan chulo, así que a falta de acentos locos, mi objetivo durante los próximos minutos es no tocar la tecla BORRAR.

Se me ocurren 2 reseñas.

En la primera te diría que AFINANDO UN SUEÑO es un conjunto de vivencias, explicadas con trazos gordos premeditados, una manera de plasmar sentimientos como el que hace unos garbanzos con chorizo, sin florituras, grasos, contundentes, con su tiempo de cocción, grasos… riquísimos.
De sus páginas sale una cuerda, que aparece deshilachada al principio, y que va cogiendo y quitando hebras hasta que encuentra 2, Michiko y Chiaki, que hacen que esa triple soga no se rompa fácilmente. Y entre medio pasamos por cervezas, chicas más lanzadas de lo que su niponidad presupone, relaciones Sensei-Alumno extrañas para el mundo occidental, comienzos y fines, sueños de horas, lágrimas por lo malo y por lo bueno. Aviones furtivos y carreras terapéuticas, no solo para el kokoro físico, sino también para el otro.
Da mucha pena cuando se acaba, sólo quedan los bises que se publican en el Ikublog cuando Kota le da tregua para dejar de mirarle.

He leído historias y biografías de famosos, especialmente del mundo del deporte… y mira, no hay comparación. Este tío normal que va esquivando la vida con suavidad y cogiendo lo que le va bien para el camino, escribe tan genial, que no leerle, no leerte, es perderse una manera de entender las adversidades muy necesaria en los tiempos presentes.


En lo que sería mi segunda reseña, me apetece pero un montón, articular tu historia con los poetas a los que tomaste prestadas frases y situaciones.
En esas páginas creí ver al primer Alejandro Sanz, no al Magno, sino a ese que reencontraba chicas de los 90 y sufría por no poder acariciar los corazones. Por supuesto el maestro Sabina acudía presto a recordarte chicas que viste en pasos cebras y que llevaban bufanda a cuadros y minifalda azul, sabiendo que a ratos te perdías como un gato en Enoshima. Imagino que entre cerveza y cerveza te vino a ver Calamaro, no solo durante los 42 kilómetros, sino también en las Miradas del Adiós.

Sabes lo último? Que hace 20 minutos tenía pensado escribirte con cierto estilo más redondo y de nube de algodón, pero desde hace 12 tengo a mi peque encima diciéndome que le ponga un video de Youtube, y ya sabes… concentración bajo mínimos, y ganas de ver a Helene Fischer con mi renacuaja. Decirle AHORA NO a un hijo es feo, siempre que no estés en asuntos mayores, claro…

Bueno, no he borrado nada, así salió, así se enviará, que dijo YUL BRYNNER en los 10 Mandamientos. (bueno, era algo diferente pero el espíritu de la frase es el mismo).

PD

Juntando las 2 reseñas quedaría una apañada, pero no lo haré.

2PD

Yo sigo esperando, aunque no esa manera tonta de esperar, que para cuando nos acerquemos allí tengas un hueco, sino para cerveza, para firma.
Aunque también debe dar un palaco grande grande ir a ver groupies. Y más decirle a Chiaki, oye… que llego más tarde, oye, que el domingo no iremos al parque con Kota, sino que iremos a ver a uno que dice que… :)

Wakarimas",2014-06-30 05:10:56,2014-06-30 05:10:56,""
391,Bego Esti Sanchez,Muy picante tu libro :),2014-06-25 09:07:05,2014-06-25 09:07:05,https://s3-ap-northeast-1.amazonaws.com/ikulibro/CAM00682.jpg
381,Caterina Pérez," Hola Oskar!!
¿ Qué tal? Tu niño está echo un mozalbete ya, tiene una carita más dulce *o* , con la mami que tiene no me extraña jeje.


Digo, a ver si le envío ya la reseña que me roneo demasiado jajaja. Por cierto ya he estado ojeando más a fondo tu blog, ya lo seguía de tanto en tanto pero ahora más todavía :)
Ikulibro... ha sido una pasada!!! Para empezar me ha encantado el tacto de las hojas, el diseño, las letrillas, las fotos y sobretodo mi dedicatoria y ver mi nombre al final del libro jajaja. 
He ido leyéndote en mis trayectos de metro camino al trabajo, sosteniéndote con orgullo cuando pillaba a algún curioso mirando la portada. Más de una vez se me ha escapado la risa o me he emocionado, tanto que he tenido que respirar y aguantar la traicionera lagrimilla (¿ Y a ésta que le pasa que lee y llora? xDD)
por suerte leí cuando te declaraste estando en mi casita, porque madre mía!!!! La de emociones que eres capaz de plasmar!!
Te he prestado a mi jefe, y ahora estaré unos días sin ti,luego se lo dejaré a Silvia,  te tengo sitio en uno de mis cajones de mi mesita de noche, porque has sido como un calmante para cuando mis noches se vuelven inquietas, consigues que me evada y pueda relajarme. 
Gracias por mostrarnos un trocito de tu vida!


 PD: has hecho que rebusque algunas canciones de Sabina jajaja


Muchos besos y abrazos desde Barcelona!!!
 
 ",2014-06-16 08:42:41,2014-06-16 08:42:41,""
